"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"131";"Lundin Mining";"LUMI";"Q4-2025";"7";"48,8%";"146,8%";"212,7%";"230931";"Material";"Gruv - Prospekt & Drift"
"40";"Boliden";"BOL";"Q4-2025";"4";"42,0%";"101,9%";"76,7%";"188839";"Material";"Gruv - Industrimetaller"
"249";"Nokia";"NOKIA SEK";"Q4-2025";"7";"27,8%";"72,8%";"44,0%";"427452";"Informationsteknik";"Kommunikation"
"748";"Cantargia";"CANTA";"Q4-2025";"4";"-4,0%";"69,0%";"147,2%";"1057";"Hälsovård";"Biotech"
"132";"Orrön Energy";"ORRON";"Q4-2025";"3";"13,2%";"61,7%";"16,4%";"2004";"Kraftförsörjning";"Förnybarenergi"
"1698";"Ovzon";"OVZON";"Q4-2025";"6";"82,0%";"60,3%";"199,0%";"6580";"Telekommunikation";"Telekomtjänster"
"52";"Cloetta";"CLA B";"Q4-2025";"8";"34,1%";"59,9%";"89,5%";"15153";"Dagligvaror";"Livsmedel"
"195";"Sandvik";"SAND";"Q4-2025";"9";"29,4%";"57,4%";"62,1%";"473154";"Industri";"Industrimaskiner"
"213";"Studsvik";"SVIK";"Q4-2025";"8";"-3,8%";"50,8%";"119,3%";"2293";"Industri";"Energi & Återvinning"
"920";"Attendo";"ATT";"Q4-2025";"9";"26,7%";"50,1%";"63,8%";"15482";"Hälsovård";"Sjukhus & Vårdhem"
"2198";"Acast";"ACAST";"Q4-2025";"5";"-19,8%";"46,5%";"57,6%";"4717";"Informationsteknik";"Internettjänster"
"1425";"FM Mattsson";"FMM B";"Q4-2025";"9";"36,7%";"44,9%";"65,7%";"3469";"Industri";"Installation & VVS"
"436";"Berner Industrier";"BERNER B";"Q4-2025";"7";"16,9%";"44,8%";"157,4%";"1983";"Industri";"Industrikomponenter"
"403";"Hanza";"HANZA";"Q4-2025";"6";"31,7%";"44,6%";"101,4%";"10250";"Industri";"Affärskonsulter"
"1632";"SSAB B";"SSAB B";"Q4-2025";"4";"11,1%";"43,2%";"16,4%";"74946";"Material";"Gruv - Industrimetaller"
"754";"Inission";"INISS B";"Q4-2025";"5";"29,8%";"42,8%";"54,9%";"1345";"Informationsteknik";"Elektronisk Utrustning"
"175";"Peab";"PEAB B";"Q4-2025";"6";"29,8%";"42,5%";"28,4%";"30730";"Industri";"Byggnation & Infrastruktur"
